pdf_page,image_index,file_path,width_px,height_px,bbox_on_page,page_side,guessed_media_type,source_pdf
1,1,images/p01_img01_xref1239.png,1480,1027,"-1.2,-1.2,1064.2,738.2",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
2,1,images/p02_img01_xref9.png,754,178,"523.1,614.0,1050.3,738.4",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
2,2,images/p02_img02_xref10.png,549,104,"524.5,665.7,908.4,738.4",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
4,1,images/p04_img01_xref21.png,1460,1027,"-1.1,-1.2,1049.9,738.2",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
5,1,images/p05_img01_xref26.png,1189,1027,"-1.0,-1.1,855.0,738.1",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
6,1,images/p06_img01_xref33.png,352,202,"524.9,61.6,778.1,206.5",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
6,2,images/p06_img02_xref35.png,293,493,"795.5,321.9,1006.3,676.7",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
6,3,images/p06_img03_xref37.png,731,457,"-1.0,-1.0,524.6,327.9",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
6,4,images/p06_img04_xref39.png,74,74,"418.0,489.0,470.8,541.8",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
6,5,images/p06_img05_xref41.png,109,109,"345.1,489.9,397.1,541.9",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
6,6,images/p06_img06_xref43.png,109,109,"271.1,489.7,323.2,541.8",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
6,7,images/p06_img07_xref45.png,297,145,"269.7,571.3,482.9,675.2",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
7,1,images/p07_img01_xref52.png,732,376,"523.3,415.9,1050.0,686.1",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
7,2,images/p07_img02_xref54.png,74,74,"418.7,448.6,471.5,501.5",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
7,3,images/p07_img03_xref56.png,109,109,"344.4,449.6,396.4,501.6",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
7,4,images/p07_img04_xref58.png,109,109,"271.0,449.4,323.1,501.5",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
7,5,images/p07_img05_xref60.png,732,285,"-1.1,61.5,525.4,266.1",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
7,6,images/p07_img06_xref62.png,296,199,"270.1,543.0,483.0,686.2",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
8,1,images/p08_img01_xref69.png,294,166,"795.1,61.3,1006.3,180.6",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
8,2,images/p08_img02_xref71.png,610,405,"567.4,398.6,1006.3,689.8",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
8,3,images/p08_img03_xref73.png,74,74,"419.4,458.4,472.2,511.3",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
8,4,images/p08_img04_xref75.png,109,109,"345.8,459.4,397.8,511.4",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
8,5,images/p08_img05_xref77.png,109,109,"271.0,459.2,323.1,511.3",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
8,6,images/p08_img06_xref79.png,731,386,"-1.4,-1.2,524.4,276.2",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
9,1,images/p09_img01_xref84.png,732,364,"523.4,61.2,1050.0,322.9",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
9,2,images/p09_img02_xref86.png,294,183,"795.1,398.1,1006.3,529.6",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
9,3,images/p09_img03_xref88.png,730,364,"-1.1,61.3,524.4,322.8",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
9,4,images/p09_img04_xref90.png,74,74,"283.1,512.4,336.0,565.2",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
9,5,images/p09_img05_xref92.png,73,73,"366.2,513.4,418.2,565.4",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
10,1,images/p10_img01_xref99.png,731,368,"524.2,424.9,1049.9,689.5",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
10,2,images/p10_img02_xref101.png,294,149,"795.1,282.2,1006.3,389.1",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
10,3,images/p10_img03_xref103.png,74,74,"415.8,625.7,468.7,678.5",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
10,4,images/p10_img04_xref105.png,109,109,"343.7,626.6,395.7,678.7",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
10,5,images/p10_img05_xref107.png,109,109,"271.7,626.5,323.8,678.5",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
10,6,images/p10_img06_xref109.png,730,452,"-1.1,-1.1,524.2,324.3",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
10,7,images/p10_img07_xref111.png,294,177,"42.5,561.2,253.7,688.3",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
11,1,images/p11_img01_xref116.png,434,394,"522.7,61.9,779.3,294.8",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
11,2,images/p11_img02_xref120.png,309,323,"790.0,447.1,1011.8,679.7",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
11,3,images/p11_img03_xref122.png,986,442,"-1.0,60.9,524.1,296.3",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
11,4,images/p11_img04_xref124.png,295,177,"42.5,553.6,254.7,680.7",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
11,5,images/p11_img05_xref126.png,74,74,"282.0,477.0,334.9,529.9",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
12,1,images/p12_img01_xref132.png,355,669,"794.5,198.4,1049.9,679.4",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
12,2,images/p12_img02_xref134.png,365,191,"524.4,358.7,786.6,495.9",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
12,3,images/p12_img03_xref136.png,365,244,"524.4,504.7,786.6,680.1",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
12,4,images/p12_img04_xref138.png,74,74,"353.5,487.0,406.4,539.9",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
12,5,images/p12_img05_xref140.png,109,109,"281.3,488.0,333.4,540.0",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
12,6,images/p12_img06_xref142.png,732,430,"-1.0,-1.0,525.5,308.0",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
12,7,images/p12_img07_xref144.png,294,166,"42.5,560.9,253.7,680.1",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
13,1,images/p13_img01_xref151.png,350,161,"525.0,61.1,776.7,176.9",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
13,2,images/p13_img02_xref155.png,351,175,"524.6,186.3,776.7,311.8",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
13,3,images/p13_img03_xref157.png,346,237,"783.6,507.8,1050.3,690.4",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
13,4,images/p13_img04_xref159.png,353,253,"523.9,507.9,777.7,689.9",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
13,5,images/p13_img05_xref161.png,732,350,"-1.2,62.4,525.8,313.6",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
13,6,images/p13_img06_xref165.png,294,156,"270.0,578.0,481.2,689.8",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
13,7,images/p13_img07_xref882.png,74,74,"415.8,494.1,468.7,546.9",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
13,8,images/p13_img08_xref167.png,73,73,"343.7,495.1,395.7,547.1",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
13,9,images/p13_img09_xref169.png,73,73,"271.7,494.9,323.8,546.9",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
14,1,images/p14_img01_xref175.png,730,273,"524.4,484.4,1049.8,680.4",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
14,2,images/p14_img02_xref177.png,295,148,"795.2,61.3,1007.3,167.2",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
14,3,images/p14_img03_xref179.png,295,188,"795.2,171.4,1007.5,306.6",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
14,4,images/p14_img04_xref181.png,74,74,"349.2,612.2,402.0,665.0",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
14,5,images/p14_img05_xref183.png,109,109,"271.0,613.0,323.1,665.0",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
14,6,images/p14_img06_xref185.png,292,185,"42.5,542.8,252.6,675.8",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
14,7,images/p14_img07_xref187.png,730,323,"-1.0,61.3,524.4,293.4",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
15,1,images/p15_img01_xref194.png,373,469,"793.9,379.0,1007.6,647.7",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
15,2,images/p15_img02_xref196.png,295,140,"566.5,61.6,778.6,161.7",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
15,3,images/p15_img03_xref198.png,295,207,"566.9,166.7,778.7,315.2",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
15,4,images/p15_img04_xref200.png,74,74,"415.8,617.1,468.7,670.0",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
15,5,images/p15_img05_xref202.png,109,109,"343.7,618.1,395.7,670.1",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
15,6,images/p15_img06_xref204.png,109,109,"271.7,617.9,323.8,670.0",left,qr_or_icon,1-北京市残障人士文化旅游资源手册(2).pdf
15,7,images/p15_img07_xref206.png,294,140,"271.7,378.4,482.9,478.7",left,image,1-北京市残障人士文化旅游资源手册(2).pdf
15,8,images/p15_img08_xref208.png,732,319,"-1.2,62.4,525.7,291.6",left,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
16,1,images/p16_img01_xref214.png,376,626,"779.7,243.3,1049.9,694.0",right,photo_or_map,1-北京市残障人士文化旅游资源手册(2).pdf
16,2,images/p16_img02_xref216.png,353,207,"524.4,540.5,778.1,689.4",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
16,3,images/p16_img03_xref218.png,353,201,"524.4,388.9,778.1,533.1",right,image,1-北京市残障人士文化旅游资源手册(2).pdf
