线路,适用人群,序号,时间,地点,特色亮点,PDF页码
线路一,肢残人士,1,9:30-11:30,故宫,故宫内设有贯穿南北的无障碍游览线路，南起端门，北至神武门，约需1.5-2小时，途经太和殿、乾清宫、御花园等主要景点；台阶处、出入口处设有无障碍坡道。,43
线路一,肢残人士,2,14:00-15:30,中国抗日战争纪念馆,大型综合性专题纪念馆，展品多集中在主馆一层，地面平坦防滑，出入口设无障碍坡道，馆内有环形闭合无障碍参观线路。,43
线路二,视障人士,1,10:00-11:30,首都图书馆,馆内无障碍设施基本完善，盲道通向公共服务地点；视障阅览区可使用助视设备，并提供盲文书籍和智能听书设备。,43
线路二,视障人士,2,14:00-15:30,奥林匹克公园,奥林匹克森林公园绿植覆盖率高，设有平坦闭合环形无障碍线路，并有奥海、湿地、天元、露天剧场等景观。,43
线路三,听障人士,1,9:30-11:00,中央广播电视塔,塔内设有残障人士专用直梯；露天观景台设在288米处，可观城市景色；中央电视台模拟体验区可提供体验。,44
线路三,听障人士,2,14:00-15:30,首都博物馆,馆内无障碍设施基本完善，无障碍参观线路呈闭合环形，游览时间约2小时。,44
